Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Atacadao Canabrava;Atacadao;BA;Nixon;2;76;R ART MIO CASTRO VALENTE 1;CANABRAVA;SALVADOR;41260-300
Atacadao Centro Sul;Atacadao;BA;Nixon;210;1;RUA ARTHUR CATRAMBI 157 TERREO;CALCADA;SALVADOR;40411-370
Atacadao Hortifruti;Atacadao;BA;Nixon;2641;1;AV PROFESSOR PINTO DE AGUIAR SN;PITUACU;SALVADOR;41740-090
Atacadao IAPI;Atacadao;BA;Nixon;48;30;AVENIDA BARROS REIS 1579;IAPI;SALVADOR;40323-200
Atacadao Km 25;Atacadao;BA;Nixon;2;71;AV ENGENHEIRO WALTER ARAGAO DE SOUZA 473;KM 25;SIMOES FILHO;43700-000
Atacadao Lauro de Freitas;Atacadao;BA;Nixon;48;27;AVENIDA SANTOS DUMONT 5893;PORTAO;LAURO DE FREITAS;42712-740
Atacadao Mata Escura;Atacadao;BA;Nixon;2;77;AV CARDEAL AVELAR BRANDAO VILLELA 000279;MATA ESCURA;SALVADOR;41219-600
Atacadao Mata Escura;Atacadao;BA;Nixon;48;29;AV CARDEAL AVELAR BRANDAO VILLELA,000279;MATA ESCURA;SALVADOR;41219-600
Atacadao Parque Bela Vista;Atacadao;BA;Nixon;2;75;AV ANTONIO CARLOS MAGALHAES SN;PARQUE BELA VISTA;SALVADOR;40280-000
Atacadao Piraja;Atacadao;BA;Nixon;2;74;ROD BR 324 9069;PIRAJA;SALVADOR;41290-550
Atacadao Piraja;Atacadao;BA;Nixon;48;31;RODOVIA BR 324 008420;PORTO SECO PIRAJA;SALVADOR;41233-030
Atacadao Santa Terezinha;Atacadao;BA;Nixon;2;69;ROD BA 046 080;SANTA TEREZINHA;SANTO ANTONIO DE JESUS;44571-970
Atacadao Sede;Atacadao;BA;Nixon;2;68;ROD 110 300;SEDE;ALAGOINHAS;48010-970
Atacadao Simoes Filho;Atacadao;BA;Nixon;48;22;AV ENGENHEIRO WALTER ARAGAO DE SOUZA, 47;KM 25;SIMOES FILHO;43700-000
Atacadao Sobradinho;Atacadao;BA;Nixon;48;34;AVENIDA EDUARDO FROES DA MOTA 5500;SOBRADINHO;FEIRA DE SANTANA;44021-215
